Gene_ID,SUM149_KDM5A.KO_C70_rep1,SUM149_KDM5A.KO_C70_rep2,SUM149_KDM5A.KO_DMSO_rep1,SUM149_KDM5A.KO_DMSO_rep2,SUM149_KDM5B.KO_C70_rep1,SUM149_KDM5B.KO_C70_rep2,SUM149_KDM5B.KO_DMSO_rep1,SUM149_KDM5B.KO_DMSO_rep2,SUM149_ROSA26.KO_C70_rep1,SUM149_ROSA26.KO_C70_rep2,SUM149_ROSA26.KO_DMSO_rep1,SUM149_ROSA26.KO_DMSO_rep2,SUM149_ZBTB7A.KO_C70_rep1,SUM149_ZBTB7A.KO_C70_rep2,SUM149_ZBTB7A.KO_DMSO_rep1,SUM149_ZBTB7A.KO_DMSO_rep2
ATP2B4,11.5618,11.8016,8.3983,8.69879,11.71,13.1108,9.14414,9.44219,13.3079,12.4834,8.41097,8.35931,12.5408,12.5698,9.15364,8.97574
ZNF423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDY2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14orf159,1.57458,1.28839,0.507976,0.979551,0.996557,0.984324,1.27894,1.27136,1.19023,2.48232,1.14645,0.932204,2.77638,1.82598,1.33563,1.55476
ZNF644,19.6507,21.4771,20.2021,27.4709,21.8824,24.3365,22.1861,19.7051,20.1307,19.3235,18.3724,20.173,20.5622,21.7253,20.5073,19.5154
ADM,3.18656,3.83169,2.65668,2.39254,2.11128,2.57373,2.54569,2.22296,2.78229,2.54314,3.0009,2.3853,2.73861,2.72021,2.43042,2.06349
C12orf44,17.6291,19.9361,20.834,18.0304,17.7181,18.4498,18.3929,17.0313,17.9861,19.0083,18.4051,16.454,17.9932,19.1413,17.4186,19.1253
IL34,0,0,0,0,0.031134,0.0784932,0,0,0,0.0817335,0.0764398,0.0223082,0.135643,0,0.0868794,0.123139
NOL4,0.0938679,0.135206,0.11831,0.0895568,0.041895,0.081722,0.16936,0.24732,0.0538568,0.0773066,0.201414,0.182398,0.0648721,0.146004,0.511906,0.0867848
TAF1D,34.6395,29.5373,27.3796,28.6383,32.7018,31.664,32.1564,32.0251,35.4972,35.2362,38.3105,36.1794,32.7855,33.5308,26.8445,31.1105
CERS6,8.70308,8.87511,9.02515,11.0281,8.47827,9.62926,9.14954,9.058,8.77403,8.61792,8.32282,8.87292,7.25934,7.7555,8.65296,8.50768
CASP2,5.4883,6.06745,6.86644,6.25317,5.76916,6.07684,6.47822,6.62859,5.50771,5.96229,6.61481,6.42218,5.45757,6.24452,6.88657,6.67747
RASSF5,2.50107,2.54445,2.67561,2.28366,2.52877,2.72702,2.4812,2.22326,2.82691,2.37751,2.33036,2.16447,2.37935,3.27587,2.46754,2.8854
TGFB1,17.2961,17.5317,15.1496,11.3657,15.8102,13.7831,15.1872,14.45,17.341,17.2234,13.9095,13.3439,17.5902,21.9835,19.6642,18.3787
OR6C76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
